,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,twitter_handle
231,10113.json,half-true,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.","education,federal-budget",democratic-senatorial-campaign-committee,,,democrat,1,2,3,1,0,a television ad,
232,3806.json,mostly-true,The Paul Ryan budget proposal would privatize Medicare.,"federal-budget,health-care,medicare",agenda-project,Liberal advocacy group,New York,none,0,1,0,1,0,an advertisement,
233,6881.json,mostly-true,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,"criminal-justice,education",steven-teske,Clayton County Juvenile Court Judge,,none,0,0,0,1,0,an article,scteskelaw
234,5857.json,half-true,The United States imprisons more than any nation in the world.,criminal-justice,hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,a speech,
235,11690.json,pants-fire,Says Marco Rubio is the one for an open border.,immigration,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7,8,10,12,3,in the CNN debate in Las Vegas,
236,10570.json,mostly-true,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.","education,federal-budget",dave-brat,College professor,Virginia,republican,2,5,0,2,0,a Facebook post.,
237,9881.json,barely-true,Says cuts to Medicare affect people who have already paid in. We paid for it.,"federal-budget,health-care,medicare",national-republican-senatorial-committee,,,republican,11,5,7,2,5,a campaign ad,
238,9133.json,barely-true,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,"bipartisanship,campaign-finance,candidates-biography",kesha-rogers,,Texas,democrat,1,0,1,0,0,an interview,KeshaRogersTX
239,4811.json,TRUE,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2,3,2,7,0,a speech,SenWhitehouse
240,4317.json,FALSE,Providences port is 200 miles closer to Europe than any other Eastern port.,"economy,infrastructure,trade,transportation",james-bennett,"director, Department of Economic Development, Providence, R.I.",Rhode Island,newsmaker,0,1,0,0,1,a news conference,James_L_Bennett
241,5627.json,TRUE,Says you need a photo ID to purchase Sudafed in Texas.,"elections,legal-issues",rick-perry,Governor,Texas,republican,30,30,42,23,18,a Fox News interview.,SecretaryPerry
242,4812.json,mostly-true,Twenty percent of housing in Portlands Pearl District is affordable.,"housing,infrastructure,taxes,urban",tom-hughes,Metro president,Oregon,democrat,0,0,0,1,0,a guest column,
243,4327.json,mostly-true,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",taxes,jeff-merkley,U.S. Senator,Oregon,democrat,0,1,3,6,0,letter to a constituent,JeffMerkley
244,451.json,half-true,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,foreign-policy,barack-obama,President,Illinois,democrat,70,71,160,163,9,a mailer to Pennsylvania voters,BarackObama
245,4102.json,half-true,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,"jobs,unions",sheila-oliver,Assemblywoman,New Jersey,democrat,0,1,1,3,0,a press release from Assembly Speaker Sheila Oliver (D-Essex),
246,975.json,TRUE,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",federal-budget,judd-gregg,U.S. Senator,,republican,0,0,0,1,0,a Fox News interview,
247,13026.json,barely-true,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,veterans,donald-trump,President-Elect,New York,republican,63,114,51,37,61,the NBC Commander-In-Chief Forum ,
248,11772.json,FALSE,We now have driven (health care) costs down to the lowest theyve been in 50 years.,health-care,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,comments during the South Carolina Democratic presidential debate,HillaryClinton
249,1486.json,half-true,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""","homeland-security,terrorism,abc-news-week",dick-cheney,,,republican,5,4,2,2,1,an interview on ABC's This Week,
250,3391.json,half-true,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.","stimulus,taxes",national-republican-senatorial-committee,,,republican,11,5,7,2,5,a news release,
251,1226.json,mostly-true,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",taxes,michael-moore,Documentary filmmaker,,none,2,5,1,6,0,"in his movie ""Capitalism: A Love Story""",MMFlint
252,11656.json,mostly-true,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.","corrections-and-updates,guns,homeland-security",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,an interview with George Stephanopoulos,HillaryClinton
253,240.json,barely-true,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,iraq,bill-richardson,Governor,New Mexico,democrat,1,2,3,8,1,a debate in Las Vegas,WBRichardson
254,3197.json,FALSE,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,"health-care,supreme-court",barack-obama,President,Illinois,democrat,70,71,160,163,9,an interview on Fox,BarackObama
255,5297.json,half-true,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,taxes,paul-sarlo,State Senator,New Jersey,democrat,0,0,1,0,0,opening remarks at a Senate committee hearing,PaulASarlo
256,968.json,TRUE,Warren (Buffett) still does support me.,economy,barack-obama,President,Illinois,democrat,70,71,160,163,9,a television interview,BarackObama
257,5922.json,TRUE,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,"candidates-biography,jobs",connie-mack,U.S. representative from Fort Myers,Florida,republican,3,3,1,3,1,a Web ad,ConnieMackIV
258,7108.json,FALSE,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,elections,facebook-posts,Social media posting,,none,14,18,15,11,36,a post on Facebook,
259,5813.json,mostly-true,"About 230,000 people that were on unemployment when I took office are not on unemployment now.","economy,workers",rick-scott,Governor,Florida,republican,28,23,38,34,7,radio interview,SenRickScott
260,7884.json,barely-true,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.","children,health-care,public-health,pundits",rush-limbaugh,Radio host,,none,9,11,5,2,10,his radio show,rushlimbaugh
261,2411.json,pants-fire,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,immigration,allen-west,"U.S. representative, Florida District 22",Florida,republican,6,9,3,1,4,a campaign website,AllenWest
262,8428.json,FALSE,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,"criminal-justice,health-care,legal-issues,privacy",evan-feinberg,"President, Generation Opportunity","Washington, D.C.",activist,0,1,0,0,0,a Providence Journal commentary,evanfeinberg
263,1391.json,TRUE,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",crime,bill-white,Former mayor of Houston,Texas,democrat,2,3,5,7,3,the biography on his campaign Web site,whitebil
264,11668.json,pants-fire,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,"corrections-and-updates,obama-birth-certificate",facebook-posts,Social media posting,,none,14,18,15,11,36,multiple posts,
265,490.json,barely-true,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",economy,moveon,,,democrat,2,4,3,0,0,an e-mail,MoveOn
266,8489.json,FALSE,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.","education,state-budget,taxes",ken-cuccinelli,Attorney General,Virginia,republican,1,10,3,2,1,a debate.,KenCuccinelli
267,12446.json,half-true,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.","candidates-biography,women,workers",donald-trump,President-Elect,New York,republican,63,114,51,37,61,an Instagram post,
268,7233.json,mostly-true,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.","crime,criminal-justice,women",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3,4,4,3,1,a letter to congressional leadership,
269,1775.json,half-true,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,"crime,homeland-security,legal-issues,terrorism,abc-news-week",rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,an interview on ABC's This Week,RudyGiuliani
270,1347.json,half-true,On legalizing illegal immigrants.,immigration,lou-dobbs,,,none,1,2,0,1,0,an interview on Telemundo,LouDobbs
271,4649.json,TRUE,Nearly half of all pregnancies in the U.S. are unintended.,"abortion,census,children,families,health-care,public-health,women",edith-ajello,Rhode Island State Representative,Rhode Island,democrat,0,1,0,0,0,commentary piece,
272,534.json,half-true,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",energy,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,"Houston, Texas",SenJohnMcCain
273,5387.json,half-true,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",housing,doug-thomas,President of the board of directors of the Lake Oswego Corporation,Oregon,none,0,0,1,0,0,an Oregonian article.,
274,2248.json,half-true,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.","economy,federal-budget",steve-latourette,Former U.S. representative from Ohio's 11th District,Ohio,republican,0,0,3,1,0,a speech,
275,2032.json,FALSE,The top 1 percent pay over half of the entire revenue for this country.,taxes,trent-franks,U.S. Representative,Arizona,republican,2,1,0,0,0,an interview on MSNBC's 'The Dylan Ratigan Show',
276,10356.json,barely-true,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,"state-budget,state-finances,taxes",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,remarks to reporters,ScottWalker
277,8385.json,half-true,Chris Christie has not increased the taxes on anyone.,taxes,kim-guadagno,Lieutenant Governor of New Jersey,,republican,0,2,1,0,0,a speech to supporters in Carlstadt,KimGuadagnoNJ
278,7386.json,barely-true,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,"agriculture,immigration,workers",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a blog post on RedState.com,marcorubio
279,3195.json,FALSE,Says he never said he would keep education funding the same.,"education,state-budget",rick-scott,Governor,Florida,republican,28,23,38,34,7,talking about his budget proposal.,SenRickScott
280,12497.json,TRUE,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",education,scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a radio interview,ScottWalker
281,13293.json,half-true,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",medicare,ted-strickland,Former Ohio governor,Ohio,democrat,2,6,7,4,1,in a Ohio senatorial candidate debate,Ted_Strickland
282,4893.json,mostly-true,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",education,thomas-brown,,Georgia,democrat,0,0,0,1,0,an interview,
283,689.json,FALSE,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,israel,moveon,,,democrat,2,4,3,0,0,an e-mail.,MoveOn
284,4896.json,barely-true,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,"energy,message-machine-2012,taxes",us-chamber-commerce,,,none,6,3,3,1,1,a television commercial,
285,9465.json,barely-true,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,"energy,taxes,voting-record",scott-brown,,New Hampshire,republican,2,2,1,3,1,a press release,
286,7303.json,half-true,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.","crime,criminal-justice,drugs,government-regulation,guns,public-safety",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,an interview on Fox News,marcorubio
287,6627.json,mostly-true,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,"health-care,history",julian-castro,"Mayor, San Antonio",Texas,democrat,0,0,3,3,0,"a keynote speech to the Democratic National Convention in Charlotte, N.C.",
288,5429.json,FALSE,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.","jobs,legal-issues,women",christine-sinicki,State Representative 20th District,Wisconsin,democrat,0,1,0,0,0,a legislative floor speech,sinicki328
289,5852.json,FALSE,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.","economy,federal-budget,jobs,transportation",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2,3,2,7,0,a speech on the floor of the U.S. Senate,SenWhitehouse
290,5043.json,pants-fire,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,"animals,congress,history,polls",chain-email,,,none,11,43,8,5,105,a message via the Internet,
291,599.json,TRUE,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,economy,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a town hall in St. Petersburg, Fla.",BarackObama
292,10411.json,mostly-true,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.","job-accomplishments,jobs",rick-perry,Governor,Texas,republican,30,30,42,23,18,valedictory speech as governor to the Texas Legislature,SecretaryPerry
293,3809.json,barely-true,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,"economy,health-care",rob-portman,U.S. senator from Ohio,Ohio,republican,3,5,11,11,1,a press availability following a policy luncheon,robportman
294,3928.json,barely-true,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.","economy,health-care",michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,a debate in New Hampshire,MicheleBachmann
295,135.json,barely-true,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""",legal-issues,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"a Republican debate in Orlando, Fla.",RudyGiuliani
296,10580.json,pants-fire,Texas this fiscal year will have more money in reserve than the other 49 states combined.,"state-budget,state-finances,states",dan-patrick,Lieutenant governor-elect,Texas,republican,4,4,3,4,4,an interview on KLBJ AM in Austin,DanPatrick
297,610.json,FALSE,On using the Strategic Petroleum Reserve.,energy,barack-obama,President,Illinois,democrat,70,71,160,163,9,,BarackObama
298,7916.json,mostly-true,Immigrants are more fertile.,immigration,jeb-bush,,Florida,republican,17,5,17,24,2,a speech at the Faith and Freedom Coalition Conference,JebBush
299,1665.json,mostly-true,"The proposed education changes ""will not cut one teacher's pay.""",education,florida-chamber-commerce,,Florida,none,0,1,1,2,1,a television advertisement.,
300,1659.json,pants-fire,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,"health-care,states",rick-perry,Governor,Texas,republican,30,30,42,23,18,a column,SecretaryPerry
301,8601.json,mostly-true,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,"civil-rights,crime,guns",jerry-patterson,state land commissioner,Texas,republican,1,1,1,3,0,an online campaign video,Patterson4TX
302,8004.json,FALSE,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,"abortion,children,families,health-care,women",rachel-campos-duffy,,,none,0,1,0,0,0,an interview,
303,4347.json,pants-fire,We spend less on defense today as % of GDP than at any time since Pearl Harbor.,federal-budget,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16,15,20,10,11,a Twitter post,newtgingrich
304,256.json,mostly-true,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.,taxes,ron-paul,U.S. representative,Texas,republican,5,8,8,8,3,a <i>Meet the Press</i> interview,RonPaul
305,2750.json,half-true,"Says Scott Walker wants to ban common forms of birth control, including the pill.","abortion,message-machine",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,2,5,8,5,3,a campaign TV ad,Barrett4MKE
306,12356.json,FALSE,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,terrorism,roy-blunt,Senator,Missouri,republican,2,1,0,1,1,a petition against President Obama’s plan to close Guantanamo Bay,
307,5388.json,half-true,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.","education,infrastructure",chris-thomas,"Shelby County Board of Commission, District 4, Position 1",Tennessee,republican,0,0,1,0,0,a Shelby County Commission meeting.,
308,9745.json,half-true,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.","iraq,terrorism",lindsey-graham,U.S. senator,South Carolina,republican,2,2,4,2,0,"comments on ""Fox News Sunday""",LindseyGrahamSC
309,2076.json,TRUE,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,housing,barney-simms,Atlanta Housing Authority chief external affairs officer,Georgia,none,0,0,0,0,0,a letter,
310,5276.json,TRUE,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",candidates-biography,chain-email,,,none,11,43,8,5,105,a chain e-mail and blog and Facebook posts,
311,2722.json,barely-true,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,"message-machine,social-security",national-republican-congressional-committee,,,republican,18,9,8,5,8,a campaign commerical,
312,1171.json,barely-true,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,"health-care,pundits",rush-limbaugh,Radio host,,none,9,11,5,2,10,his radio program,rushlimbaugh
313,2011.json,half-true,There are mechanisms in place to shut down the Internet privately.,infrastructure,andrew-napolitano,judge,,republican,3,0,2,0,3,comments on the 'Glenn Beck' show,
314,8308.json,barely-true,The American people support defunding Obamacare and oppose shutting down the government.,health-care,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a press release,marcorubio
315,7217.json,half-true,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,"federal-budget,social-security",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,in a tweet,marcorubio
316,2824.json,TRUE,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.","candidates-biography,pundits",joyce-kaufman,WFTL 850 AM talk show host,Florida,talk-show-host,0,0,0,0,0,a radio show,joyceonair
317,3730.json,pants-fire,The people of Rhode Island dont want same-sex marriage.,"civil-rights,gays-and-lesbians,marriage,polls",christopher-plante,"executive director, National Organization for Marriage - Rhode Island",Rhode Island,newsmaker,0,0,0,1,1,a television interview,Chris91UconnBoY
318,3672.json,half-true,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.","deficit,federal-budget,medicare,taxes",gerry-connolly,U.S. Representative,Virginia,democrat,1,0,4,1,0,a press release.,GerryConnolly
319,6318.json,barely-true,This year in Congress (Connie Mack IV) has missed almost half of his votes.,candidates-biography,dave-weldon,,Florida,republican,2,0,0,0,1,a robocall,Davweldon
320,10198.json,barely-true,"1/3 of our kids drop out (of high school), cannot go to college or start a career.","corrections-and-updates,education",jeb-bush,,Florida,republican,17,5,17,24,2,a fundraising letter,JebBush
321,9960.json,barely-true,Not even old Gen. Eisenhower saluted military personnel as president.,"history,military",rachel-maddow,MSNBC host,,none,6,6,4,6,1,"her book ""Drift""",
322,3281.json,TRUE,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.","labor,pundits,state-budget,abc-news-week",george-will,Columnist,Maryland,columnist,7,6,3,5,1,"ABC's ""This Week""",
323,12581.json,barely-true,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.","guns,terrorism",john-garamendi,U.S. House of Representatives,California,democrat,1,0,0,1,0,a speech.,RepGaramendi
324,9596.json,FALSE,74 percent of Republicans support the Affordable Care Act.,"health-care,polls",donna-edwards,U.S. House of Representatives,Maryland,democrat,0,1,0,0,0,"a roundtable discussion on CNN's ""State of the Union""",
325,2143.json,half-true,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.","crime,economy,education,poverty",peter-kilmartin,state representative,Rhode Island,democrat,0,0,2,1,1,a speech at the state Democratic convention,PeterFKilmartin
326,8405.json,half-true,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.","debt,federal-budget",roger-williams,Businessman,Texas,republican,3,2,2,0,1,an interview as quoted in a news story,
327,8794.json,FALSE,Says Alex Sink failed Florida homeowners by using predatory lending practices.,corporations,republican-party-florida,,,republican,10,6,6,6,4,a YouTube video,
328,11196.json,barely-true,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.,financial-regulation,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,the first GOP primary debate.,marcorubio
329,2917.json,barely-true,You cant check out a library book without a photo ID.,legal-issues,david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,an interview.,DavidHDewhurst
330,11555.json,pants-fire,Says that Starbucks took Christmas off of their brand new cups.,religion,joshua-feuerstein,,,republican,0,0,0,0,1,a video,TheEvangel1st
331,10449.json,mostly-true,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,sports,bill-belichick,,,none,0,0,0,1,0,a news conference,
332,13223.json,FALSE,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",abortion,ted-cruz,Senator,Texas,republican,36,33,15,19,8,responding to an audience member's question at the Texas Tribune Festival.,tedcruz
333,10611.json,TRUE,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.","autism,children,disability,education,families,immigration,state-budget,state-finances",associated-press,journalists,,none,0,0,0,0,0,article,
334,2060.json,mostly-true,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.","economy,government-efficiency,job-accomplishments",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,a news conference,JoeBiden
335,4687.json,half-true,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,"economy,job-accomplishments,state-finances",josh-mandel,Ohio treasurer,Ohio,republican,4,5,4,5,6,an email to supporters,JoshMandelOhio
336,7210.json,half-true,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.","sports,state-finances",nathan-deal,,,republican,9,5,11,11,0,a television interview,
337,5235.json,mostly-true,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.","corrections-and-updates,economy,jobs",barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union address,BarackObama
338,8210.json,half-true,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",economy,rick-perry,Governor,Texas,republican,30,30,42,23,18,a radio ad,SecretaryPerry
339,12185.json,mostly-true,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,"debt,economy,education",bill-clinton,former president,Arkansas,democrat,4,2,12,11,3,a campaign speech,BillClinton
340,1192.json,mostly-true,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,history,john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a floor speech,SpeakerBoehner
341,10295.json,mostly-true,"We are younger than our competitors, and this is entirely because of immigration.",immigration,barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech to business leaders,BarackObama
342,4332.json,half-true,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,education,chip-rogers,State Senator,Georgia,republican,1,0,1,1,0,a town hall meeting,chiprogers
343,4655.json,TRUE,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",economy,alan-grayson,U.S. House of Representatives,Florida,democrat,6,5,4,11,1,"appearance on Bill Maher show on Oct. 7, 2011",
344,11215.json,half-true,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",criminal-justice,julius-jones,Founder of Black Lives Matter Worcester,Massachusetts,activist,0,0,1,0,0,an interview on MSNBC,
345,10796.json,barely-true,Says he raised average family income by 50 percent during his tenure as Arkansas governor.,"income,state-budget",mike-huckabee,author,Arkansas,republican,12,5,9,3,4,a video,
346,2925.json,half-true,They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,"infrastructure,stimulus,transportation",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a CNN interview,JohnKasich
347,2903.json,half-true,"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.","economy,taxes",national-association-manufacturers,Trade association,"Washington, D.C.",none,0,0,1,0,0,a statement,
348,4181.json,TRUE,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,"bipartisanship,federal-budget",barack-obama,President,Illinois,democrat,70,71,160,163,9,a televised address,BarackObama
349,3615.json,half-true,"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.","pundits,taxes",chris-hayes,"Host, All In",,none,0,0,1,0,0,"an interview on MSNBC's ""The Rachel Maddow Show""",chrislhayes
350,9031.json,FALSE,"Most young Americans right now, theyre not covered by health insurance.",health-care,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a Funnyordie.com ""Between Two Ferns"" interview with Zach Galifianakis",BarackObama
351,9838.json,mostly-true,"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.","corporations,taxes",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a meme on social media,
352,7765.json,TRUE,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.","economy,job-accomplishments,jobs",rick-perry,Governor,Texas,republican,30,30,42,23,18,an advertisement,SecretaryPerry
353,7887.json,pants-fire,Says two-thirds of groups targeted for IRS scrutiny were not conservative.,taxes,progress-texas,,Texas,none,3,0,1,0,2,a tweet,ProgressTX
354,11407.json,pants-fire,"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.","foreign-policy,history",ben-carson,,,republican,7,12,3,2,4,an interview with CNN's Wolf Blitzer,SecretaryCarson
355,1616.json,half-true,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",education,bill-white,Former mayor of Houston,Texas,democrat,2,3,5,7,3,an e-mail,whitebil
356,12265.json,barely-true,"As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.","income,taxes",dinesh-dsouza,Author and film director,California,none,1,0,0,0,1,a Facebook post,
357,35.json,TRUE,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",iraq,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,"CNN/YouTube debate in Charleston, S.C.",JoeBiden
358,10663.json,half-true,"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.","federal-budget,taxes,wealth",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a Tweet,
359,8147.json,half-true,"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.","florida,states",bill-foster,"Mayor, St. Petersburg",Florida,republican,1,0,2,2,0,a mayoral forum,RepBillFoster
360,3625.json,mostly-true,Says Texas routinely gets a lot more federal spending than it pays in taxes.,"federal-budget,pundits,taxes",rachel-maddow,MSNBC host,,none,6,6,4,6,1,an episode of The Rachel Maddow Show.,
361,1693.json,FALSE,Cell phone numbers go public this month.,consumer-safety,ken-legler,State House representative,Texas,republican,0,1,0,0,0,Facebook and Twitter posts,KenLegler
