,speaker,twitter_handle
1012,suzanne bonamici,RepBonamici
1013,bill oneill,CoachO02
1014,charles clark,
1015,bear education and resource group,
1016,jeff dewit,JeffDeWitAZ
1017,tom tancredo,ttancredo
1018,haley barbour,HaleyBarbour
1019,jeremy bird,jeremybird
1020,instagram posts,
1021,fulton county government,
1022,joe straus,SpeakerStraus
1023,meria carstarphen,CarstarphenMJ
1024,larry ahern,Larry_Ahern
1025,valerie jarrett,vj44
1026,new approach oregon,NewApproachPAC
1027,steve spinnett,steve_spinnett
1028,anna throne holst,
1029,anonymous activist,
1030,kelly terry willis,
1031,jeff atwater,JeffAtwater
1032,linda curtis,TDSBLindaCurtis
1033,paul workman,PaulCTV
1034,jim carrey,JimCarrey
1035,michael morell,MichaelJMorell
1036,rob teilhet,
1037,eddie bernice johnson,
1038,austan goolsbee,Austan_Goolsbee
1039,jb van hollen,JBVanHollen
1040,maryellen oshaughnessy,
1041,our oregon,
1042,sheila jackson lee,JacksonLeeTX18
1043,angela bean,
1044,sheri gallo,SheriGalloD10
1045,nan orrock,SenNanOrrock
1046,steve scalise,SteveScalise
1047,jay nixon,
1048,michael j gardiner,
1049,van wanggaard,Vanwanggaard
1050,jeffrey loria,
1051,nikki haley,NikkiHaley
1052,kyrsten sinema,SenatorSinema
1053,michael mccaul,RepMcCaul
1054,aclu florida,
1055,cliff stearns,
1056,state rep brian clem d salem,
1057,michelle malkin,michellemalkin
1058,rebecca bradley,RebeccaJBradley
1059,david gregory,davidgregory
1060,debbie dooley,Crimsontider
1061,paula dockery,Paula_Dockery
1062,bret baier,BretBaier
1063,dustin inman society,DustinInmanSoc
1064,lynda rife,
1065,don mcintire,Donmcintire4
1066,ami bera,RepBera
1067,trevor noah,Trevornoah
1068,great america pac,GreatAmericaPAC
1069,jan jones,janjonesauthor
1070,becky moeller,BeckyMoeller
1071,vincent fort,
1072,emma watson,EmmaWatson
1073,anthony johnson,Anthony_Rumble
1074,scott randolph,
1075,kinky friedman,
1076,george w bush,
1077,max nofziger,maxnofziger
1078,jay wiley,
1079,jeb hensarling,
1080,holly benson,BADnewsbenson1
1081,jody conradt,hof98
1082,tim griffin,TimGriffinBig12
1083,roger goodell,nflcommish
1084,dana young,
1085,ralph peters,ralph_peters
1086,john elkhay,EllhayJohn
1087,steve munisteri,
1088,nina turner,ninaturner
1089,john taylor,JohnLloydTaylor
1090,esquire magazine,
1091,patience roggensack,
1092,barth bracy,
1093,beto orourke,
1094,ohio federation teachers,
1095,michael reagan,ReaganWorld
1096,wisconsin anti violence effort educational fund,
1097,jeff wentworth,JeffInTokyo
1098,chris smith,SmithChris
1099,american action network,AAN
1100,tim lee,
1101,nfl players association,
1102,marc morial,MARCMORIAL
1103,bruce hanna,bdhogfan
1104,ron gerberry,RonGerberry
1105,donald carcieri,
1106,people american way,
1107,committee florida education,
1108,pierre thomas,Pierre_Thomas
1109,don gaetz,DonGaetz
1110,american future fund,AmFutureFund
1111,gerard robinson,gerard_924
1112,snooki,
1113,sam stein,samstein
1114,culinary workers union,
1115,barry smitherman,SmithermanTX
1116,tom toles,TomTolesToons
1117,raymond frank,RaymondFArevalo
1118,bob duffy,BobDuffyROC
1119,wayne lapierre,
1120,american energy alliance,AEA
1121,jerry brown,JerryBrownGov
1122,billboard,billboard
1123,paul begala,PaulBegala
1124,albio sires,RepSires
1125,hans von spakovsky,HvonSpakovsky
1126,keith parker,
1127,wisconsin alliance reform,
1128,morgan brittany,
1129,raymond lahood,
1130,joe heck,CoachJoeHeck
1131,charlotte bergmann,memphismayor
1132,ron klein,OtherRonKlein
1133,eileen brady,
1134,sam houston,BearkatsBSB
1135,bill spelman,SpelmanBill
1136,arizonans responsible drug policy,
1137,better austin today political action committee,
1138,citizens lower taxes and stronger economy,
1139,gordon challstrom,gordchallstrom
1140,pat boone,
1141,sabino pio renteria,CM_Renteria
1142,chris taylor,ChrisTaylorWI
1143,nicholas kristof,NickKristof
1144,jennifer shilling,SenShilling
1145,farouk shami,Farouk4Texas
1146,diane douglas,
1147,marc thiessen,marcthiessen
1148,jake tapper,jaketapper
1149,norcross city council,
1150,dick morris,DickMorrisTweet
1151,leslie curran,ExpressFraming
1152,jon huntsman,JonHuntsman
1153,video,
1154,robert deuell,
1155,betsy mccaughey,Betsy_McCaughey
1156,dan boren,dgbjr
1157,emilys list,
1158,joyce beatty,RepBeatty
1159,cleta winslow,cmwinslow04
1160,bonnie reiss,bonniemreiss
1161,gil kerlikowske,rgkerlik
1162,gregory j costantino,
1163,gop critics,
1164,jeffrey grybowski,
1165,sarah ponder,surahhpondaa
1166,senate leadership fund,Senate_Fund
1167,jeanine pirro,JudgeJeanine
1168,jd hayworth,JDHayworthAZ
1169,don balfour,
1170,peggy noonan,Peggynoonannyc
1171,bob beckel,
1172,people ethical treatment animals,
1173,democratic party oregon,
1174,colorado citizens accountable government,
1175,new jersey senate democrats,
1176,mary landrieu,MaryLandrieu
1177,david miliband,DMiliband
1178,mike dovilla,mikedovilla
1179,john e sununu,
1180,hilary rosen,hilaryr
1181,carlos lopez cantera,
1182,karina wood,
1183,henry sanders,
1184,raul castro,
1185,edward flynn,EdwardFlynn12
1186,ron fournier,ron_fournier
1187,chris sununu,ChrisSununu
1188,jason nassour,JasonNassour
1189,traditional values coalition,
1190,city brookhaven,
1191,josh earnest,joshearnest
1192,victoria seaman,VictoriaDseaman
1193,kiki curls,KikiCurls
1194,pink slip rick,
1195,bono,
1196,jan crawford,JanCBS
1197,nicholas mattiello,RISpeaker
1198,kirk watson,
1199,steve moore,stevemoore2600
1200,eric greitens,EricGreitens
1201,barbara sharief,BarbaraSharief
1202,generation opportunity,
1203,kurt bauer,
1204,al gore,algore
1205,van taylor,VanTaylorTX
1206,alison littell mchose,
1207,debra medina,debmedina
1208,amy kremer,AmyKremer
1209,bart stupak,RealBartStupak
1210,coalition bring jobs ri,
1211,bernard jackvony,
1212,patrick lynch,
1213,bill pascrell,BillPascrell
1214,ibdeditorialscom,
1215,public comments common core hearing,
1216,sharon day,usambassadorcr
1217,carlos trujillo,USAmbOAS
1218,jim bohl,
1219,mary squires,MaryTylerMorgue
1220,texas values,txvalues
1221,david holmes,
1222,mike adams,Channel75live
1223,jim keffer,RepJimKeffer
1224,scott bruun,JoinScott
1225,bob buckhorn,BobBuckhorn
1226,jill stein,
1227,jim francesconi,JimFrancesconi
1228,nelson wolff,
1229,ryan lizza,RyanLizza
1230,karen harrington,KA_Harrington
1231,juan hernandez,
1232,ronda storms,
1233,jorge ramos,jorgeramosnews
1234,texas association school boards,
1235,fox news channel,
1236,steve adler,Steve_Adler
1237,tom kean jr,TomKeanJr
1238,marilinda garcia,MarilindaGarcia
1239,portland association teachers,
1240,einer elhauge,elhauge
1241,rebecca bell metereau,
1242,george flinn,
1243,eddie rodriguez,EddieforTexas
1244,kathie tovo,kathietovo
1245,caddy mckeown,
1246,cathie adams,cathieadams
1247,martavius jones,
1248,buzzfeed,BuzzFeed
1249,council national interest,
1250,megyn kelly,megynkelly
1251,doris kearns goodwin,DorisKGoodwin
1252,kathleen ford,
1253,william barber,kidwilly23
1254,nick rahall,
1255,texas public policy foundation,TPPF
1256,national border patrol council,
1257,uber,Uber
1258,donna nesselbush,
1259,eddie lucio jr,
1260,renee ellmers,RepReneeEllmers
1261,lynn westmoreland,Westmoreland_GA
1262,aclu georgia foundation,
1263,ohio republican party,
1264,lesley cohen,Cohen4AD29
1265,randi weingarten,rweingarten
1266,hemant mehta,hemantmehta
1267,don willett,
1268,majority pac,
1269,kevin levitas,kevin_levitasTG
1270,jim mcgreevey,jim_mcgreevey
1271,campaign fix debt,
1272,maciver institute,MacIverWisc
1273,service employees international union committee po,
1274,texans accountable government,
1275,paige kreegel,ElectKreegel
1276,bob stacey,
1277,mark zaccaria,Mark_Zaccaria
1278,xi jinping,
1279,dan flynn,DanFlynn
1280,anne nolan,AnneNolan2
1281,john huppenthal,HuppenthalADE
1282,meg whitman,MegWhitman
1283,frank lautenberg,
1284,jonathan jarvis,JonathanJarvis
1285,mike polensek,
1286,us uncut,
1287,levar stoney,
1288,katrina vanden heuvel,
1289,nick fish,
1290,jeff fitzgerald,cheffitzgerald
1291,dubose porter,porterforga
1292,georgia state senators,
1293,dick armey,DickArmey
1294,Coast Guard,
1295,phil robertson,Reaproy
1296,ew jackson,
1297,geraldine thompson,defines1
1298,loretta sanchez,LorettaSanchez
1299,citizens fairness,
1300,steve ogden,SteveOgdenArt
1301,cw bill young,
1302,leah vukmir,LeahVukmir
1303,robert barber,RA_Barber
1304,dannel malloy,
1305,bill bennett,WilliamJBennett
1306,don young,
1307,alliance americas future,
1308,make us great again,
1309,steve southerland,Rep_Southerland
1310,mario loyola,
1311,david alameel,
1312,emergency committee israel,
1313,bruce rauner,BruceRaunerHQ
1314,john thrasher,jthrasher
1315,lee may,
1316,violence policy center,VPCinfo
1317,my city bikes,
1318,danny tarkanian,DannyTarkanian
1319,dave aronberg,aronberg
1320,education action group,
1321,samir chachoua,
1322,pat carlson,PatCarlsonMinis
1323,ellen troxclair,EllenforAustin
1324,bryce reeves,ReevesVA
1325,tom kean sr,
1326,caroline casagrande,CCCasagrande1
1327,jim waldman,jimwaldman
1328,jodie laubenberg,LaubenbergTX
1329,no casinos,
1330,jason conger,JasonConger
1331,wisconsin manufacturers and commerce,
1332,internet commenters,
1333,accountability project,
1334,bill kristol,BillKristol
1335,john loughlin,
1336,susan b anthony list,
1337,diana degette,DeGette5280
1338,mike dudgeon,mjdudgeon
1339,rob wittman,ReElectWittman
1340,jon husted,JonHusted
1341,anne goodman,
1342,national partnership women families,
1343,florida hometown democracy,
1344,will wynn,mycarheaven
1345,rick kriseman,Kriseman
1346,mark kelly,ShuttleCDRKelly
1347,texas future,
1348,blanche lincoln,
1349,jd van brink,JDVanBrink
1350,atlanta braves,Braves
1351,rhue reis,ReisforCongress
1352,arthenia joyner,JoynerforSenate
1353,donna shalala,
1354,marcus low,
1355,chris mccalla,HeyMrMcCalla
1356,dave marsden,SenDaveMarsden
1357,diane black,RepDianeBlack
1358,christopher monckton,chris_monckton
1359,frank wolf,RepWOLFPress
1360,liberty institute,
1361,louis marinelli,LouisJMarinelli
1362,thom tillis,
1363,defending main street,DefendMainSt
1364,bikeportlandorg,
1365,david rivera,RepRivera
1366,us department housing and urban development,
1367,get equal texas,
1368,new hampshire republican party,
1369,renee unterman,Renee_Unterman
1370,kevin flynn,FlynnCNBC
1371,virginia first foundation,
1372,committee restore americas greatness,
1373,libertarian party georgia,
1374,sally bethea,sbethea063
1375,planned parenthood,PPFA
1376,dccc lgo,
1377,stefani carter,stefani_carter
1378,gene mcintyre,genem3
1379,michael bloomberg,
1380,lone star project,lsptex
1381,peter beinart,PeterBeinart
1382,jefferson smith,jeffersonsmithp
1383,lee holloway,icqheretic
1384,eric gray,TheEricGray
1385,terry russell,TerryRussellLtd
1386,james buchal,JamesBuchal
1387,jack reed,
1388,hugh thompson,thommosays
1389,ron maag,
1390,ray lewis,raylewis
1391,philip van cleave,
1392,rose mary grant,Grant7Rose
1393,julie lassa,JulieMLassa
1394,oregon business association,
1395,adam schefter,AdamSchefter
1396,jack hanna,JungleJackHanna
1397,protect your vote ohio protect your vote ohio,
1398,sierra club,SierraClub
1399,kay hagan,kayhagan
1400,silvestre reyes,
1401,austin scott,
1402,kirsten gillibrand,SenGillibrand
1403,tom mechler,tommechler
1404,maria sachs,MariaSachs
1405,william benson huber,NYCWBH
1406,mark obenshain,MarkObenshain
1407,wayne christian,ChristianForTX
1408,david furhman,
1409,chris stirewalt,ChrisStirewalt
1410,james stegmaier,jpstegmaier
1411,vladimir putin,
1412,burnt orange report,BOR
1413,claire suggs,ClaireVSuggs
1414,taxpayer association oregon,
1415,john fleming,RepFleming
1416,ronald rice,
1417,georgia department public health,
1418,rosemary lehmberg,RoseLehmberg
1419,national womens law center,
1420,stephen nodine,NodineTweets
1421,kevin mccarthy,GOPLeader
1422,michelle nunn,MichelleNunn
1423,corrine brown,CorrineBrownCon
1424,floridians ethics and truth politics,
1425,peter pantuso,PantusoPeter
1426,carol morgan,AtlantaPR
1427,debbie mayfield,debbie_mayfield
1428,chris bowers,chrisbowers
1429,kevin reilly,
1430,colleen kiernan,ckiernanATL
1431,anthony gemma,
1432,courageous conservatives pac,
1433,chris collins,
1434,roger stone,
1435,mickie williams,sup_steez
1436,progress florida,ProgressFlorida
1437,christine odonnell,
1438,votevetsorg,
1439,msnbc,MSNBC
1440,matt caldwell,mattcaldwell_fl
1441,david bowen,
1442,david barton,DavidBartonWB
1443,harold ford jr,
1444,trey martinez fischer,
1445,john buss,
1446,scott maddox,duffmc2001
1447,steve goreham,stevegoreham
1448,vicky hartzler,
1449,florida voter,
1450,ronnie earle,stay_numb_
1451,bryan hughes,bryanweather
1452,new jersey tea party,
1453,steven schale,
1454,leslie geissler munger,
1455,james bell,
1456,penny pritzker,PennyPritzker
1457,jim moore,cougsgo
1458,nfederation o independent business virginia,
1459,league women voters austin area,
1460,lorraine fende,FendeLorraine
1461,kai degner,kaidegner
1462,robert dold,
1463,seaworld,SeaWorld
1464,carlos gimenez,
1465,myra crownover,MyraCrownover
1466,citizens progressive wisconsin,
1467,steve israel,RepSteveIsrael
1468,washington examiner,dcexaminer
1469,david ralston,
1470,tarina keene,ProtectChoice
1471,todd richardson,Rep_TRichardson
1472,afscme people,
1473,pete hegseth,PeteHegseth
1474,rodney ellis,RodneyEllis
1475,steve wise,notamagi
1476,donald verrilli,
1477,marina dimitrijevic,supervisormd
1478,richard besser,
1479,scott keyes,smkeyes
1480,susan combs,
1481,deval patrick,DevalPatrick
1482,steve loomis,48Stevie
1483,herb kohl,
1484,senate republican conference,
1485,james woods,RealJamesWoods
1486,tom steyer,TomSteyer
1487,vance smith,vanceasmith
1488,joe wilkinson,gillinghamjoe
1489,michele walsh,Brez70
1490,jim mcdermott,RepJimMcDermott
1491,charles reed,
1492,zoe lofgren,ZoeLofgren
1493,david caton,DAVECATON01
1494,morten jerven,MJerven
1495,scott peters,ScottPetersSD
1496,john klenke,9773powerstroke
1497,janice hahn,SupJaniceHahn
1498,jennifer parrish,JenParrish777
1499,ralph reed,ralphreed
1500,campaign defend america,
1501,anthony weiner,CarlosDWeiner
1502,freedom project,
1503,sandra stotsky,sgstotsky
1504,philip keefe,
1505,mike prendergast,MPrendergastTX
1506,jim gilmore,gov_gilmore
1507,joshua mckoon,
1508,romney allies,
1509,georgiacarryorg georgiacarryorg,
1510,forecast facts,
1511,focus family action,
1512,maria bartiromo,MariaBartiromo
1513,bill post,
1514,big gamble nj,BigGambleNJ
1515,huey rey fischer,
1516,mario diaz balart,
1517,leonard lance,
1518,everytown gun safety,
1519,teresa ghilarducci,tghilarducci
1520,jack roberts,By_JackRoberts
1521,josh trevino,Parallelfilmss
1522,wrongwayrubiocom,
1523,ilyse hogue,ilyseh
1524,tucker carlson,TuckerCarlson
1525,vernon jones,
1526,city atlanta,
1527,eva marie mancuso,
1528,tim sheehy,TimSheehy
1529,andy craig,nland360
1530,we are wisconsin,
1531,ruben kihuen,
1532,jose rodriguez,Josseroodriguez
1533,wesley clark,WesClark
1534,chris riley,Chris_Riley2
1535,corey hebert,
1536,doreen costa,DoreenCostaRI
1537,duriya farooqui,DuriyaFarooqui
1538,kimberly guilfoyle,kimguilfoyle
1539,american petroleum institute,APIenergy
1540,michael schrunk,
1541,libertarian national committee,
1542,hank gilbert,Hank4Texas
1543,dana milbank,Milbank
1544,transportation leadership coalition,
1545,todd tiahrt,reptoddtiahrt
1546,ryan frazier,RyanLFrazier
1547,charlie sykes,SykesCharlie
1548,tom leppert,
1549,log cabin republicans,
1550,18 percent american public,
1551,robert kraig,RKraig1912
1552,e gordon gee,
1553,gary lambert,GaryLambertNH
1554,pink pony,showbars
1555,conservatives patients rights,
1556,sovereign citizens united,
1557,chris dudley,ChrisUnderoath
1558,jimmy barrett,jameshbarrett
1559,plantsneedco2org,
1560,afl cio,
1561,progress austin pac,
1562,duncan hunter,
1563,tom craddick,craddick_tom
1564,anitere flores,
1565,david sciarra,
1566,george p bush,
1567,dean obeidallah,
1568,hilary treadwell,
1569,gail collins,gailcollins
1570,thomas garrett jr,
1571,david segal,SegalforRI
1572,burrell ellis,
1573,d king,
1574,amalgamated transit union,
1575,dana wachs,DanaJWachs
1576,mike hymes,THS67
1577,freedom religion foundation,
1578,david perdue files,
1579,bob barr,bobbarr
1580,gloria romero roses,gromeroroses
1581,citizens michael mcauliffe and house republican or,
1582,national republican trust pac,
1583,maria shriver,mariashriver
1584,jim mowrer,jimmowrer
1585,joseph levy,josephmlevy
1586,charles odimgbe,Chazorlee
1587,jim rubens,JimRubens
1588,gun owners america,
1589,bill mccoshen,billmccoshen
1590,roberto dasilva,
1591,justin trudeau,JustinTrudeau
1592,ted kanavas,Ted_Kanavas
1593,rhode island senate,RISenate
1594,luis alejo,SupervisorAlejo
1595,van jones,VanJones68
1596,pat kreitlow,
1597,cynthia lummis,
1598,michael hayden,
1599,butch conway,conwaysheriff
1600,vernon keenan,vkeenan
1601,emanuel cleaver,
1602,no 56 campaign,
1603,richard morrison,RichardTeam
1604,house majority pac,HouseMajPAC
1605,independent texans,
1606,peter morici,PMorici1
1607,roy moore,
1608,greenville gazette,
1609,julie pace,jpaceDC
1610,no tax tracks,
1611,wisconsin family action,
1612,cnn,CNN
1613,rhode island retirement security coalition,
1614,nancy grace,NancyGrace
1615,carla axtman,
1616,jeff sessions,jeffsessions
1617,shawn lindsay,
1618,common sense now,
1619,richard pan,
1620,wayne rogers,
1621,hunter schwarz,hunterschwarz
1622,michael bennet,MichaelBennet
1623,lauren hitt,LaurenHitt
1624,roy zimmerman,royzimmerman
1625,democratic governors association,
1626,gary black,
1627,stuart sternberg,wdwfanzonestu
1628,andre carson,
1629,no 67,
1630,woody degan,Degan4Senate
1631,jack latvala,
1632,linda mcmahon,Linda_McMahon
1633,alliance retired americans,
1634,paul manafort,PaulManafort
1635,bob corker,
1636,randy neugebauer,RandyNeugebauer
1637,buddy roemer,
1638,we people petition,
1639,young americans liberty,
1640,martin kiar,
1641,fred smith,
1642,our city our safety our choice,
1643,kal penn,kalpenn
1644,jeff miller,jeffmillerla
1645,paul babeu,
1646,burger king,BurgerKing
1647,alternativepac,AlternativePac
1648,portland public schools,
1649,pro life wisconsin,
1650,bill seitz,BillSeitz
1651,kate obenshain,kateobenshain
1652,mike coffman,RepMikeCoffman
1653,bornalivetruth org,
1654,jeff mann,
1655,donna garner,dmgarner13
1656,scott garrett,RepGarrett
1657,tim ziemer,tziemer763
1658,chris cuomo,
1659,daniel greenfield,Sultanknish
1660,ted ankrum,TedAnkrum
1661,seminole tribe florida,
1662,doug collins,
1663,edward markey,
1664,john thune,
1665,memphis police association,
1666,nina perales,
1667,matt mackowiak,MattMackowiak
1668,tammy duckworth,SenDuckworth
1669,dan ramos,danramoscomedy
1670,akbar al baker,
1671,atlanta neighborhood association,
1672,tom corbett,CorbettforGov
1673,hillsborough area rapid transit hart,
1674,brian schweitzer,brianschweitzer
1675,jay goyal,jaygoyal
1676,ken mercer,TheMoves
1677,ken langone,realkenlangone
1678,kent conrad,Conradozxc
1679,mike scott,mikescott
1680,texans economic development,
1681,bee moorhead,
1682,tom nelson,tan123
1683,mark begich,MarkBegich
1684,patrick moore,EcoSenseNow
1685,mike gravel,MikeGravel
1686,james langevin,
1687,us census bureau,
1688,winning democrats,
1689,linda finn,Lindafblue
1690,jerry falwell,JerryFalwellJr
1691,julaine appling,sixfooter
1692,kari chisholm,karichisholm
1693,john lott,LottOnBaseball
1694,special operations opsec education fund,
1695,ruben navarrette jr,RubenNavarrette
1696,jeremy schaap,JeremySchaap
1697,jamie samons,jamiesamons
1698,catherine cortez masto,
1699,james dobson,
1700,we love usa pac,
1701,citizens transportation mobility,
1702,john raese,RaeseForSenate
1703,sam brownback,
1704,heather beaven,ElectBeaven
1705,john stemberger,JohnStemberger
1706,b heath mitchell,
1707,jonah goldberg,JonahNRO
1708,charlene lima,CharleneLimaRI
1709,steven rattner,SteveRattner
1710,lamar alexander,
1711,dwight holton,RogueDew
1712,carol browner,Kandice_Masinga
1713,gary painter,GaryDeanPainter
1714,elizabeth roberts,
1715,sonji jacobs,SonjiJacobs
1716,gloria steinem,GloriaSteinem
1717,jay leno,jayleno
1718,franklin graham,Franklin_Graham
1719,joel klatt,joelklatt
1720,mark kirk,SenatorKirk
1721,doctors without borders,
1722,georgia farm bureau,GaFarmBureau
1723,james vincent,
1724,gsu alumni association,
1725,america rising now,
1726,brian anderson,AndersonBrian01
1727,clay cox,CoachCox19
1728,scott desjarlais,DesJarlaisTN04
1729,joseph mcnamara,Joemacisbatman
1730,other 98,
1731,sandra smith,SandraSmithFox
1732,suzanne devlin,GrevlinSuzanne
1733,doug macginnitie,mac4sos
1734,josh fox,joshfoxfilm
1735,women wall,
1736,john sharp,JohnSharp99
1737,will kraus,unclekraus
1738,virginia tea party patriots,
1739,joe pitts,
1740,raul labrador,
1741,larry kilgore,DrLarryKilgore
1742,gary schaer,GarySchaerNJ
1743,donald rumsfeld,RumsfeldOffice
1744,ruth bader ginsburg,
1745,theresa price,theresaprice21
1746,paul lepage,
1747,terry gorman,TerryJGorman
1748,steven frias,StevenFD_
1749,luis gutierrez,
1750,susan sosnowski,SozMama
1751,various media reports,
1752,jim petro,
1753,austin board realtors pac,
1754,dan kapanke,DanKapanke
1755,dana perino,DanaPerino
1756,gayle smith,GayleSmith
1757,david wu,PG_Mashumaro
1758,eugene yu,
1759,ari melber,AriMelber
1760,ruben hinojosa,
1761,corey stewart,CoreyStewartVA
1762,justin amash,justinamash
1763,samuel wurzelbacher,
1764,lz granderson,LZGranderson
1765,robert mcdonald,
1766,democratic hispanic caucus florida miami dade coun,
1767,wesley smith,
1768,buddy carter,RepBuddyCarter
1769,georgia state road and tollway authority,
1770,fact check florida,
1771,libre initiative,
1772,bruce starr,brucestarr29
1773,broward republican executive committee,
1774,charlie flemming,charlieflemmin1
1775,pam bondi,PamBondi
1776,mark geist,MarkGeistSWP
1777,andrea mitchell,mitchellreports
1778,jon voight,jonvoight
1779,doug muder,
1780,virginia society human life,
1781,general beauregard beau lee,
1782,mike tate,michaeljtate
1783,john ludlow,surfglen
1784,jesse jackson,
1785,bob hackworth,BobHackworth
1786,state tea party express state tea party express,
1787,vicki shabo,VShabo
1788,barry duval,barry_duval
1789,richard corcoran,richardcorcoran
1790,stacey campfield,realstaceyc
1791,michelle litjens,michellelitjens
1792,pat mullins,
1793,basil seggos,BasilSeggos
1794,charlotte lehan,Charbs51
1795,declan oscanlon,
1796,jennifer granholm,JenGranholm
1797,cq press city crime rankings 2010 2011,
1798,javier m gonzales,
1799,rick barber,rick03907
1800,republican jewish coalition,
1801,forbes blog,
1802,workers voice,
1803,sandy pasch,sandyforsenate
1804,brent barton,
1805,stacey abrams,staceyabrams
1806,larry sabato,LarrySabato
1807,centers disease control,
1808,david corn,DavidCornDC
1809,eleanor holmes norton,EleanorNorton
1810,martha mcsally,SenMcSallyAZ
1811,heidi heilman,HeidiHeilman
1812,eva galambos,evagalambos
1813,fred clark,SlacktivistFred
1814,dan gecker,dangecker
1815,donny deutsch,DonnyDeutsch
1816,sanford bishop,SanfordBishop
1817,ocean state policy research institute,
1818,ismael ozanne,DaneDAOzanne
1819,teresa tanzi,
1820,frank lobiondo,FrankLoBiondoNJ
1821,lucy flores,LucyFlores
1822,joe donnelly,deaco2000
1823,eric holder,EricHolder
1824,jd alexander,Jdalexander64
1825,diane hurley,
1826,john chisholm,johndchisholm
1827,federation american immigration reform,
1828,marjorie dannenfelser,
1829,liberal bloggers,
1830,robert bennett,WAVY10Bob
1831,dan saltzman,DanSaltzman1016
1832,penny bernard schaber,
1833,rod smith,TheREALrodSmith
1834,jane kidd,janekidd12
1835,paul bedard,SecretsBedard
1836,michael madigan,madiganm
1837,steven brown,
1838,clint eastwood,
1839,robert flanders,
1840,jon richards,iamthejmark
1841,alan hays,
1842,steve acenbrak,
1843,jorge elorza,Jorge_Elorza
1844,richard cordray,
1845,richard burr,SenatorBurr
1846,allen boyd,
1847,christopher little,ChrisLittle25
1848,matt miller,
1849,patty murray,
1850,tim grendell,TimGrendell
1851,californians lower drug prices,
1852,lawrence lessig,
1853,frank brogan,FrankNutr
1854,university oregon,
1855,celia israel,CeliaIsrael
1856,rudy moise,
1857,leah ward sears,
1858,amy schumer,amyschumer
1859,joe walsh,WalshFreedom
1860,larry gonzales,gonzolk
1861,rhode island center freedom and prosperity,
1862,patrick kennedy,
1863,brian kilmeade,kilmeade
1864,jeff wagner,Jeff_Wagner4
1865,mike collins,MIKECOLLINS99
1866,cnsnews,cnsnews
1867,jane harman,
1868,josh hawley,HawleyMO
1869,ted deutch,
1870,greg steube,gregsteube
1871,richard woods,Richard_Woods
1872,amy hanauer,amyhanauer
1873,pat robertson,
1874,nathan deal and roy barnes,
1875,matthew rothschild,
1876,league conservation voters,
1877,joseph cryan,
1878,rich lowry,RichLowry
1879,paul bettencourt,
1880,matt wand,
1881,nation islam research group,
1882,pat stevens,
1883,marla stephens,marla_stephens
1884,david frum,davidfrum
1885,jacky rosen,RosenforNevada
1886,liberals are cool,LiberalsAreCool
1887,bob ryan,GlobeBobRyan
1888,allan levene,LEVENEBRICKWORK
1889,gary cobb,cobbyqpr
1890,worldnetdaily,
1891,ernest almonte,ErnestAlmonte1
1892,jean schmidt,
1893,naral pro choice america,
1894,stephen martin,
1895,commonsense ten,
1896,jeff brandes,JeffreyBrandes
1897,chris devaney,FormerChairman
1898,jim marshall,
1899,jeannette vaught,
1900,allen alley,allen_alley
1901,janet napolitano,t_tenglish
1902,curt schilling,gehrig38
1903,steve buckstein,SteveBuckstein
1904,carl paladino,CarlPaladino
1905,american principles action,
1906,joy pullmann,JoyPullmann
1907,dan stein,DanS_journalism
1908,charlie baird,charliebaird10
1909,new day america,
1910,sherry sylvester,sylvester1630
1911,kevin boyce,
1912,brian robinson,br524
1913,dan becker,becker513
1914,basic rights oregon,basicrights
1915,beverly hall,IrishBones69
1916,rob andrews,
1917,Kiplinger com,
1918,seneca jones,
1919,reclaim america pac,TeamReclaim
1920,virginia senate democratic caucus,
1921,scott jones,FOX59SJONES
1922,gordon quan,GordonQuan
1923,stacey evans,EvansforGeorgia
1924,whoopi goldberg,WhoopiGoldberg
1925,sylvia romo,sylromo
1926,freedom and responsibility pac,
1927,red white and blue fund,
1928,harold metts,
1929,mark sanford,MarkSanford
1930,john burzichelli,
1931,matthew cooke,
1932,defenders wildlife action fund defenders wildlife,
1933,viral buzzfeed,
1934,dianne feinstein,
1935,competitive enterprise institute,ceidotorg
1936,william howell,ProfWillHowell
1937,reed gusciora,
1938,numbers usa,
1939,bill kennemer,repbillkennemer
1940,michael chippendale,mickchip
1941,joe morrissey,MorrisseyPhotos
1942,media trackers,
1943,deborah kafoury,dkafoury
1944,elizabeth cohen,elizcohencnn
1945,Arizona Citizens Defense League,
1946,madison action fund,MadisonAction
1947,branko radulovacki,
1948,revitalize cobb,
1949,brad avakian,BradAvakian
1950,mike keown,
1951,mark dayton,
1952,breitbart,BreitbartNews
1953,our portland our schools,
1954,kathleen passidomo,Kathleen4SWFL
1955,joe atkins,MrJophoto
1956,bill mitchell,mitchellvii
1957,ertharin cousin,ertharin
1958,barry garner,Bazag69
1959,ora houston,
1960,kareem abdul jabbar,
1961,lenny curry,lennycurry
1962,bill gates,BillGates
1963,florida conference catholic bishops,
1964,ben bius,BenBius
1965,xavier becerra,AGBecerra
1966,jobs ohio,
1967,donald mceachin,
1968,jim durrett,
1969,charley wilkison,charleywilkison
1970,don lemon,donlemon
1971,ron oakley,
1972,susan collins,
1973,baker harrell,itstimefounder
1974,critics water fluoridation,
1975,solar energy fairness,
